smiles,score
c1(C(=O)O/N=C(/c2ccncc2)\N)c(cc(cc1)C)Cl,-7.8
c1(n(ccn1)Cc1ncccc1)C1CN(C(=O)c2nc(ccc2)C)CCC1,-7.6
c1(nc2c(c3c1CCC3)c1c(cc2)cccc1)c1c(ccc(c1)OC)OC,-7.9
n12nc(N3CC(C(=O)Nc4ccc(cc4)OC)CCC3)ccc1nnc2C,-8.2
n1(nc(N2CCSCC2)ccc1=O)CC(=O)NCc1c(Cl)cccc1,-7.7
C(=O)(N1CCC(CC1)(c1cnccc1)O)NCCc1cn(nc1)C,-8.8
c1(c(n[nH]c1)c1ccc(cc1)F)CNC(c1cc(c(cc1)OC)OC)CC,-7.7
C(=O)(N[C@H]1[C@H](OCc2ccccc2)COCC1)c1nc(ccc1)C,-7.0
c1(nc2c(s1)cc(NC(=O)c1c(C)cccc1)cc2)NC(=O)CC,-8.2
c12n(nc(c1)CNS(=O)(=O)C)CCCN(C2)Cc1occc1,-7.4
C1(=C(NC(=O)NC1c1cc(c(cc1)OC)OC)C)C(=O)OCCOCC,-6.7
N1([C@H]2[C@@H]([C@@H](C1)c1cc3c(OCO3)cc1)N1CCC2CC1)C(=O)CCC1(CC1)C,-7.9
C1(=C(C(=O)N(C1c1ccc(cc1)F)CCOC)O)C(=O)c1ccc(S(=O)(=O)N(CC)CC)cc1,-7.8
c12c(c(cc(c1non2)N(C)C)Nc1ccc(SC#N)cc1)[N+](=O)[O-],-8.1
c1(sc(nn1)CCOCC)NC(=O)Cc1ccccc1,-7.2
c1(S(=O)(=O)NC(C)(C)C)sc(nn1)NC(=O)C,-7.2
c1(nc2c(n1CC)cccc2)SCC(=O)N/N=C/c1c2c(cc3c1cccc3)cccc2,-7.8
C(=S)(N1CCN(c2ccc([N+](=O)[O-])cc2)CC1)Nc1c(cc(cc1)Cl)Cl,-7.7
n1(c(=O)n(c2c1ncc(c2)C(=O)O)CC(=O)Nc1nn(cc1)C)CC(C)C,-7.7
S(=O)(=O)(N(c1cc(ccc1Cl)Cl)CC(=O)NCc1ncccc1)c1ccccc1,-8.7
c1(C(=O)N(Cc2noc3c2CCCC3)C)cc(no1)CC(C)C,-7.7
S(=O)(=O)(N(CC(=O)Nc1c(Cl)cccc1)c1c(CC)cccc1)c1ccccc1,-9.0
n1(nnc(c1C)C(=O)Nc1ccc(N2CCN(CC2)C)cc1)c1c(ccc(c1)C)C,-5.1
S(=O)(=O)(c1ccc(NC(=S)NNC(=O)CCC(=O)Nc2c(Cl)cccc2)cc1)N,-7.4
C(=O)(N/N=C\c1cc2c(cc1)cccc2)CNc1ccc(cc1)C,-9.0
c1(nc(cc(n1)C)NC)N1CC(N(Cc2ccc(cc2)C)CC1)CCO,-7.6
C1(C(=O)O)(CCN(c2ncccn2)CC1)Oc1ccc(Cl)cc1,-8.3
S(=O)(=O)(N(CC(=O)Nc1cc(C(=O)OC)ccc1Cl)c1cc(C(=O)C)ccc1)C,-7.5
c1(c(cc(cc1OC)CN(Cc1ccncc1)CCCn1cncc1)Cl)O,-6.2
C(=O)(N1CCC(CN2CCOCC2)CC1)C(c1ccc(cc1)F)N(C)C,-7.6
N(C(=O)C1CCN(C(=O)C)CC1)c1c(cccc1CC)C,-7.1
n1n2c(cc1CN(Cc1nc3c([nH]1)cc(cc3)F)C)CNCC2,-7.7
