smiles,score
[N+](=O)(c1ccc(/C(=C\c2cc3c(OCCO3)cc2)/C#N)cc1)[O-],-7.4
c1(NC(=O)CNCCc2c(ccc(c2)C)C)c(ccc(c1)C)F,-7.8
C(=O)(C(=O)O)O.C(NCCCOc1ccc(cc1)OCC)(C)(C)C,-6.0
n1(c(ncc1)C)CC(=O)N1CC(Cc2cc3c(OCO3)cc2)(CCC1)C,-8.4
[N+](=O)(c1c(C(=O)Nc2c(cc(cc2)I)Cl)cccc1)[O-],-7.3
C1(C(=O)N(Cc2c(ccc(c2)OC)F)CCC1)(CN(C1CCCCC1)C)O,-7.5
S(=O)(=O)(c1cc(NS(=O)(=O)C)ccc1OC)N1CCCCC1,-8.0
S(=O)(=O)(Nc1c(C(=O)NCCSCc2cc(ccc2)C)cccc1)C,-7.4
c1(cc(NC(=O)COc2c(Cl)cccc2)ccc1OC)Cl,-7.1
c1(cc(ncn1)C1COCC1)N1CCN(CCC1)CCCc1ccccc1,-7.9
c1(c(=O)n(c(cc1C)C)C)C(=O)NCCc1nc2c(s1)CCC2,-7.1
n12[C@@H]3[C@@H](OCc1cnn2)CCN(C3)Cc1c(c(c(cn1)C)OC)C,-7.2
C(=O)(Nc1cc(C(=O)OCC)cc(C(=O)OCC)c1)c1ccncc1,-7.5
S(=O)(=O)(N1CCC(C(=O)NCc2ncccc2)CC1)Cc1c(cc(cc1)Cl)Cl,-8.9
N1(C(=O)Nc2ccc(OCC(=C)C)cc2)C(C(=O)N(CC1)C)C,-7.2
S(=O)(=O)(c1cc(c(cc1)OCCC)C)NCC1OCCC1,-7.4
N1(C(CN(Cc2c(C)cccc2)CC1)CCO)Cc1oc(cc1)C,-6.9
C(=O)(N1CCN(c2ccc(NC(=O)CSc3ccc(Cl)cc3)cc2)CC1)c1ccc(cc1)Cl,-7.9
c1(c(n[nH]c1)c1ccc(cc1)Cl)CN1Cc2c(OCC1)ccc(CN1C(CO)CCCC1)c2,-8.9
n1c(noc1C1CCN(C(=O)c2ccc(C(C)(C)C)cc2)CC1)C1COCC1,-7.7
c1(n2c(nc(=O)c1)scc2)C(=O)N1[C@H]2CN(C(=O)N(C)C)C[C@@H](C1)CC2,-8.1
c12c(nc(n(c1=O)c1ccccc1)SCC(=O)c1occc1)sc1c2CCC1,-8.4
N1(CCCCOc2c(OC)cccc2)CCCCC1,-6.2
C(=O)(C(c1ccc(cc1)F)N(C)C)NCCOCCC,-6.2
n1(c(nnc1COc1c(C)cccc1)SCC(=O)Nc1cc(ccc1C)F)C,-7.1
c1(nc2n(c1)ccs2)C(=O)N1CCC(CC1)(CO)CCOc1ccccc1,-7.6
C(=O)(NC1Cc2c(C1)cccc2)CC1COCC1,-7.1
